code,ticker,name
3395,3395.T,"Saint Marc Holdings Co., Ltd."
3397,3397.T,TORIDOLL Holdings Corporation
3401,3401.T,Teijin Limited
3402,3402.T,"Toray Industries, Inc."
3405,3405.T,"Kuraray Co., Ltd."
3407,3407.T,Asahi Kasei Corporation
3415,3415.T,"TOKYO BASE Co.,Ltd."
3431,3431.T,"Miyaji Engineering Group,Inc."
3433,3433.T,"TOCALO Co.,Ltd."
3436,3436.T,Sumco Corporation
3443,3443.T,"Kawada Technologies, Inc."
3445,3445.T,"RS Technologies Co., Ltd."
3446,3446.T,JTEC Corporation
3457,3457.T,"&Do Holdings Co.,Ltd."
3465,3465.T,"Ki-Star Real Estate Co.,Ltd"
3475,3475.T,"Good Com Asset Co., Ltd."
3480,3480.T,"J.S.B.Co.,Ltd."
3482,3482.T,Loadstar Capital K.K.
3484,3484.T,"Innovation Holdings CO.,LTD."
3486,3486.T,Global Link Management Inc.
3496,3496.T,"Azoom Co.,Ltd"
3498,3498.T,"Kasumigaseki Capital Co.,Ltd."
3501,3501.T,"SUMINOE Co., Ltd."
3539,3539.T,"JM Holdings Co.,Ltd."
3543,3543.T,"KOMEDA Holdings Co., Ltd."
3546,3546.T,"Alleanza Holdings Co., Ltd."
3548,3548.T,Baroque Japan Limited
3549,3549.T,"Kusuri No Aoki Holdings Co., Ltd."
3561,3561.T,"Chikaranomoto Holdings Co.,Ltd."
3563,3563.T,Food & Life Companies Ltd.
3569,3569.T,"Seiren Co.,Ltd."
3580,3580.T,"KOMATSU MATERE Co.,Ltd."
3591,3591.T,Wacoal Holdings Corp.
3593,3593.T,"Hogy Medical Co.,Ltd."
3608,3608.T,"TSI Holdings Co.,Ltd."
3612,3612.T,"World Co., Ltd."
3626,3626.T,TIS Inc.
3632,3632.T,"GREE Holdings, Inc."
3635,3635.T,"Koei Tecmo Holdings Co., Ltd."
3636,3636.T,"Mitsubishi Research Institute, Inc."
3649,3649.T,FINDEX Inc.
3655,3655.T,BrainPad Inc.
3656,3656.T,KLab Inc.
3657,3657.T,"Pole To Win Holdings, Inc."
3659,3659.T,"NEXON Co., Ltd."
3660,3660.T,istyle Inc.
3661,3661.T,"m-up holdings, Inc."
3662,3662.T,"Ateam Holdings Co., Ltd."
3663,3663.T,"CELSYS, Inc."
3665,3665.T,Enigmo Inc.
3668,3668.T,"COLOPL, Inc."
3673,3673.T,"Broadleaf Co., Ltd."
3675,3675.T,Cross Marketing Group Inc.
3676,3676.T,"DIGITAL HEARTS HOLDINGS Co., Ltd."
3678,3678.T,"MEDIA DO Co., Ltd."
3679,3679.T,"ZIGExN Co., Ltd."
3681,3681.T,"V-cube, Inc."
3687,3687.T,Fixstars Corporation
3688,3688.T,"Carta Holdings, Inc."
0368,0368.T,
3694,3694.T,OPTiM Corporation
3696,3696.T,Ceres Inc.
3697,3697.T,SHIFT Inc.
3708,3708.T,"Tokushu Tokai Paper Co., Ltd."
3741,3741.T,"Systems Engineering Consultants Co.,LTD."
3762,3762.T,TechMatrix Corporation
3763,3763.T,Pro-Ship Incorporated
3765,3765.T,"GungHo Online Entertainment, Inc."
3769,3769.T,"GMO Payment Gateway, Inc."
3771,3771.T,"System Research Co.,Ltd."
3774,3774.T,Internet Initiative Japan Inc.
3778,3778.T,SAKURA Internet Inc.
